star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
9.35800781e+04,5.39999491,-1.68153129e-11,2.12281378,3.67762640,1.22883124,-1.34597295,1.07007779e-04,6.40739811,-1.76207405,-1
9.76889875e+04,5.39999484,-1.63154827e-11,2.11557745,3.67870239,1.22306109,-1.34607195,1.06458322e-04,6.41570591,-1.73272115,-1
1.01978754e+05,5.39999477,-1.58409822e-11,2.10861208,3.67981639,1.21735042,-1.34607748,1.05969222e-04,6.42415440,-1.70300426,-1
1.06457226e+05,5.39999470,-1.53885327e-11,2.10191660,3.68095980,1.21171584,-1.34591401,1.05535019e-04,6.43273864,-1.67291852,-1
1.11132736e+05,5.39999463,-1.49675255e-11,2.09542861,3.68210987,1.20617172,-1.34566202,1.05205311e-04,6.44145918,-1.64245315,-1
1.16014391e+05,5.39999456,-1.45659645e-11,2.08922982,3.68327344,1.20074518,-1.34599542,1.04741405e-04,6.45031946,-1.61160012,-1
1.21111571e+05,5.39999449,-1.41973701e-11,2.08373595,3.68455014,1.19544485,-1.34621805,1.04390841e-04,6.45932452,-1.58034187,-1
1.26433374e+05,5.39999441,-1.38607869e-11,2.07854125,3.68582633,1.19029512,-1.34622145,1.04182160e-04,6.46847291,-1.54866909,-1
1.31992979e+05,5.39999434,-1.35451258e-11,2.07370590,3.68709731,1.18533548,-1.34607456,1.04008134e-04,6.47776755,-1.51654987,-1
1.37797361e+05,5.39999426,-1.32631700e-11,2.06963218,3.68845063,1.18059199,-1.34631131,1.03834637e-04,6.48720595,-1.48396853,-1
1.43857178e+05,5.39999418,-1.30123673e-11,2.06617477,3.68983238,1.17609979,-1.34635000,1.03773569e-04,6.49679005,-1.45088885,-1
1.50182393e+05,5.39999410,-1.27980183e-11,2.06349776,3.69126380,1.17189844,-1.34635433,1.03819732e-04,6.50652712,-1.41727712,-1
1.56782964e+05,5.39999402,-1.26198419e-11,2.06170363,3.69274576,1.16803746,-1.34635036,1.03952519e-04,6.51642228,-1.38309736,-1
1.63665250e+05,5.39999393,-1.24885469e-11,2.06111184,3.69434024,1.16455260,-1.34629378,1.04251883e-04,6.52647749,-1.34832438,-1
1.70839949e+05,5.39999384,-1.23994077e-11,2.06161693,3.69599145,1.16150271,-1.34622290,1.04660631e-04,6.53670223,-1.31290333,-1
1.78312076e+05,5.39999375,-1.23650011e-11,2.06358126,3.69776323,1.15894133,-1.34608097,1.05265084e-04,6.54710829,-1.27679689,-1
1.86083721e+05,5.39999365,-1.23864549e-11,2.06705710,3.69964602,1.15691365,-1.34581212,1.06070711e-04,6.55771128,-1.23997573,-1
1.94147578e+05,5.39999355,-1.24746037e-11,2.07221399,3.70168550,1.15541315,-1.34560892,1.07115471e-04,6.56851577,-1.20243993,-1
2.02507044e+05,5.39999345,-1.26265652e-11,2.07898282,3.70388023,1.15440810,-1.34609245,1.08236551e-04,6.57954379,-1.16414422,-1
2.11160086e+05,5.39999334,-1.28372119e-11,2.08712865,3.70625077,1.15373994,-1.34605009,1.09745530e-04,6.59080757,-1.12504532,-1
2.20121955e+05,5.39999322,-1.30891963e-11,2.09619379,3.70879932,1.15317540,-1.34598604,1.11490733e-04,6.60233164,-1.08506321,-1
2.29410682e+05,5.39999310,-1.33567516e-11,2.10556943,3.71155101,1.15235986,-1.34587839,1.13444672e-04,6.61413322,-1.04409602,-1
2.39054771e+05,5.39999297,-1.36063003e-11,2.11458521,3.71447789,1.15101398,-1.34558062,1.15541278e-04,6.62623821,-1.00201200,-1
2.49070956e+05,5.39999283,-1.38142080e-11,2.12293251,3.71762345,1.14889651,-1.34622751,1.17456121e-04,6.63863897,-9.58767439e-01,-1
2.59478812e+05,5.39999268,-1.39754636e-11,2.13045530,3.72092963,1.14604553,-1.34651884,1.19518458e-04,6.65133471,-9.14307922e-01,-1
2.70261773e+05,5.39999253,-1.41029021e-11,2.13768801,3.72444577,1.14262961,-1.34650291,1.21777956e-04,6.66429539,-8.68702949e-01,-1
2.81426610e+05,5.39999237,-1.42245047e-11,2.14509497,3.72813737,1.13894990,-1.34632658,1.24343897e-04,6.67737451,-8.22271602e-01,-1
2.92910390e+05,5.39999221,-1.43556060e-11,2.15314322,3.73214604,1.13495669,-1.34640898,1.27383723e-04,6.69082676,-7.74666203e-01,-1
3.04700484e+05,5.39999204,-1.45174126e-11,2.16220214,3.73643203,1.13091417,-1.34624479,1.31287852e-04,6.70455649,-7.25889577e-01,-1
3.16744617e+05,5.39999186,-1.47258528e-11,2.17260458,3.74105347,1.12687250,-1.34540718,1.36602745e-04,6.71850808,-6.76213530e-01,-1
3.28975206e+05,5.39999168,-1.49871861e-11,2.18454284,3.74608431,1.12277996,-1.34621383,1.43397059e-04,6.73261411,-6.25937143e-01,-1
3.41320778e+05,5.39999149,-1.53104375e-11,2.19814554,3.75156291,1.11862411,-1.34566358,1.53419522e-04,6.74669548,-5.75699130e-01,-1
